TAG,Inicio,Target_4H,Duracao_Ciclo_Minutos,Hora_Inicio,Dia_Semana,Sintomas_Ultimas_24H,Sintomas_Ultimas_4H,Sintomas_Ultimas_2H,Razao_Agravamento_4H,Aceleracao_Aguda_2H
CA65929,2025-04-08 05:50:30,0,9.5,5,1,453.0,53.0,25.0,0.11699779,0.4716981
CA5926,2025-04-15 06:23:49,0,3.55,6,1,591.0,82.0,34.0,0.13874789,0.41463414
PE3795,2025-05-31 18:00:00,0,39.2,18,5,76095.0,14279.0,6081.0,0.18764701,0.42587015
CA5927,2025-06-28 19:00:00,0,6.85,19,5,398.0,65.0,39.0,0.16331658,0.6
PE3796,2025-02-27 09:00:00,0,60.0,9,3,0.0,0.0,0.0,0.0,0.0
CA65925,2025-05-20 01:00:00,0,4.883333,1,1,2120.0,405.0,184.0,0.19103773,0.454321
PE3785,2025-03-18 21:00:00,0,60.0,21,1,0.0,0.0,0.0,0.0,0.0
CA65936,2025-05-04 18:13:06,0,46.9,18,6,1501.0,262.0,121.0,0.1745503,0.46183205
PE3795,2025-04-23 09:00:00,0,5.366667,9,2,37780.0,7689.0,4564.0,0.20352039,0.59357524
CA65929,2025-02-02 13:11:57,0,2.25,13,6,0.0,0.0,0.0,0.0,0.0
CA65928,2025-06-27 00:04:03,0,1.7,0,4,1511.0,258.0,148.0,0.17074785,0.5736434
CA65928,2025-05-04 10:08:40,0,1.15,10,6,1511.0,258.0,148.0,0.17074785,0.5736434
CA65931,2025-03-06 09:00:00,0,60.0,9,3,0.0,0.0,0.0,0.0,0.0
CA0000,2025-02-19 15:00:00,0,60.0,15,2,0.0,0.0,0.0,0.0,0.0
CA65937,2025-01-12 00:49:00,0,11.0,0,6,0.0,0.0,0.0,0.0,0.0
CA65925,2025-03-18 13:13:14,0,6.4666667,13,1,0.0,0.0,0.0,0.0,0.0
CA65936,2025-04-30 18:10:45,0,4.0666666,18,2,1487.0,266.0,116.0,0.17888366,0.43609023
CA65925,2025-05-12 02:02:08,0,23.25,2,0,2120.0,405.0,184.0,0.19103773,0.454321
CA65789,2025-03-03 00:00:00,0,3.2333333,0,0,0.0,0.0,0.0,0.0,0.0
PE3799,2025-02-15 14:00:00,0,60.0,14,5,0.0,0.0,0.0,0.0,0.0
CA65928,2025-04-27 05:43:03,0,16.95,5,6,1515.0,251.0,127.0,0.16567656,0.5059761
CA65792,2025-03-13 00:13:11,0,6.0833335,0,3,0.0,0.0,0.0,0.0,0.0
CA65927,2025-06-17 22:00:00,0,15.883333,22,1,310.0,74.0,42.0,0.23870967,0.5675676
PE3797,2025-02-25 13:05:32,0,54.466667,13,1,0.0,0.0,0.0,0.0,0.0
CA65925,2025-05-31 19:00:00,0,19.616667,19,5,2120.0,405.0,184.0,0.19103773,0.454321
PE3798,2025-05-04 05:42:39,0,17.35,5,6,9543.0,150.0,67.0,0.015718328,0.44666666
CA65919,2025-04-21 06:00:00,0,60.0,6,0,0.0,0.0,0.0,0.0,0.0
CA65931,2025-04-16 06:58:33,0,1.45,6,2,411.0,51.0,24.0,0.124087594,0.47058824
CA65915,2025-06-17 16:00:00,0,7.733333,16,1,1189.0,188.0,88.0,0.15811606,0.4680851
PE3796,2025-01-25 05:00:00,0,47.733334,5,5,0.0,0.0,0.0,0.0,0.0
CA65928,2025-04-10 04:07:36,0,52.4,4,3,783.0,121.0,91.0,0.15453385,0.75206614
CA65931,2025-05-07 14:15:43,0,44.283333,14,2,2496.0,672.0,53.0,0.26923078,0.078869045
CA65923,2025-01-01 05:02:58,0,45.066666,5,2,0.0,0.0,0.0,0.0,0.0
CA65902,2025-03-28 06:37:24,0,3.2666667,6,4,0.0,0.0,0.0,0.0,0.0
CA65921,2025-03-10 03:26:06,0,0.81666666,3,0,0.0,0.0,0.0,0.0,0.0
PE3799,2025-03-08 08:23:39,0,36.35,8,5,0.0,0.0,0.0,0.0,0.0
CA65935,2025-03-09 17:00:00,0,60.0,17,6,0.0,0.0,0.0,0.0,0.0
CA65792,2025-05-11 12:00:00,0,60.0,12,6,300.0,86.0,37.0,0.28666666,0.43023255
CA65926,2025-03-03 21:52:06,0,6.2,21,0,0.0,0.0,0.0,0.0,0.0
CA65925,2025-04-14 07:00:00,0,3.9,7,0,847.0,185.0,81.0,0.21841794,0.43783784
PE3785,2025-01-20 04:00:00,0,60.0,4,0,0.0,0.0,0.0,0.0,0.0
